wallet_address,twitter_handle,twitter_name,wallet_type,tier,pnl_7d,winrate_7d,followers,tags
DvG4iskRRzPPJ8zynWctTLqGbPo1RWW4neSGgn8TgQdL,,"",smart_money,pro,9703.04,58.8%,39,"axiom, smart_degen"
2AafxtCn2xVcZFYuKGtE4ZTnAGujYHA8jqVfzokMp6mR,,"",smart_money,pro,9507.16,32.7%,47,"padre, smart_degen"
G9VPG4XvHheUUbzPexNzx9Yyx97ii53WYb89PvdM2qQk,rrealist,"realist",whale,pro,9507.10,44.7%,2363,"axiom, launchpad_smart, padre, top_followed, top_renamed"
7w7f4P284zJhv3zotjCUmaNsZSsrHQKtpXGBJFq8gdzq,404flipped,"eq",kol,pro,9412.05,100.0%,3545,"app_smart_money, axiom, kol, top_followed, top_renamed"
F2uihSGitvVZ92c4R1yfvbMunBGRCDJLWiyN7VfXFtu5,,"",whale,pro,9356.90,55.2%,112,"launchpad_smart"
BtMBMPkoNbnLF9Xn552guQq528KKXcsNBNNBre3oaQtr,06296wt,"letterbomb 🟪🔶🟦",kol,pro,9189.38,51.1%,27348,"app_smart_money, axiom, gmgn, kol, photon, top_followed, top_renamed, trojan"
456xjxMrRKcp5odo8B1McWiTbvTUffFi5iCV1Ky9Sft7,,"",whale,pro,9101.66,37.6%,46,"launchpad_smart"
BbAP8535rUsmpNBc6cjyp2oxj9KQGpn9YHT5BJkG1HCE,,"",smart_money,pro,9057.79,66.7%,25,"smart_degen"
FhZmTCs7enzPDN1RpgJPUcZPfX6FKJ9uqj7ch2jtggGW,,"",whale,pro,9049.72,39.9%,15,"launchpad_smart"
4GH1YzJPTX5ggpL8smF1kjbYdfUBHULvj6y5zFLahcqV,,"",whale,pro,8971.05,42.6%,117,"launchpad_smart, padre"
5GGqDQVr2LasfmWFXSH54V6ryVrXGwkZSjkK6xR473XJ,,"",smart_money,pro,8896.08,61.0%,88,"axiom, smart_degen"
EG9jxLSrsgSNaD1aGyNEVnhbgtEmxzBffFxPUaxNdjrz,,"",smart_money,pro,8851.56,91.1%,188,"smart_degen"
EBx24uAPtaS1SvHwRhKEktSgzaXdiVEyHuSVpAMVwrcD,,"",whale,pro,8743.86,72.8%,203,"axiom, gmgn, launchpad_smart"
4nwfXw7n98jEQn93VWY7Cuf1jnn1scHXuXCPGVYS9k6T,,"",whale,pro,8688.33,48.5%,4493,"app_smart_money, axiom, launchpad_smart, pepeboost, photon, top_followed, top_renamed"
FFEjC9MHhpQViBPrD2iU6LmV2hEigyhLJaL7MZUZzyD4,,"",smart_money,pro,8652.31,61.9%,200,"smart_degen"
BwPFmWgirMuf7RDyxxBg8eBHwFuqSTupSdtgG3DRNpDd,,"",whale,pro,8591.14,42.2%,196,"axiom, launchpad_smart"
J1eguri6RpXj7H9hXNrt3TcTdJxenUrwzouAaKpiPQvC,,"",whale,pro,8567.98,54.6%,115,"launchpad_smart"
9Tee3dgA4agNnvVATUhakWzngwYrGzQWrxyafGGKpYi7,,"",whale,pro,8537.19,48.1%,267,"launchpad_smart, padre"
D3MuDmrs2dm6U9CiZur651CnPjLwUWjs9p1a3PoDs76H,,"",smart_money,pro,8410.48,83.3%,11,"smart_degen"
EB1KL7zfxqgL2AyQuaNTkyit1kY6fUvfbLyijGKuAHF7,,"",whale,pro,8372.48,38.9%,6,"launchpad_smart"
5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,Yennii56,"Yenni",kol,pro,8230.85,35.9%,25607,"app_smart_money, axiom, kol, padre"
4uCT4g7YHH4xxfmfNfKUDenwGrRNGoZ9Ay1XFxfUGhQG,Esee06257,"Esee",kol,pro,8203.66,38.8%,1582,"axiom, kol, launchpad_smart, padre"
DqQ347q5afVNVukx42yCn9xxq6kytz9TQDiNt6gfq26V,,"",whale,pro,8202.93,32.0%,120,"axiom, launchpad_smart, padre"
B2SLVmf8NJtitDVcn2HHzqLhjA4kyFXeN2Upt6e5KiFX,,"",whale,pro,8187.68,44.0%,4,"launchpad_smart"
DsqdUPgAtH94nYEeqmCd6DKCUEAZAc5tCtjEQQEoc8Gk,,"",whale,pro,8120.46,41.0%,209,"axiom, gmgn, launchpad_smart"
J7GR6XoJfCPwZumW9xZ1nbWkyaq1oYSQuSVmCdBTx6Nf,,"",smart_money,pro,8056.66,100.0%,738,"smart_degen"
DMy6J8XXnqg4ZnMfAAc5DNgtVmcbjtXSQidANynigkkD,,"",whale,pro,8010.58,47.0%,104,"launchpad_smart, padre"
B9kJYdzb4gB9AC3aFChReDhJ2D5YDCaR4UrEoen2NcyC,kyro10k,"kyro",smart_money,pro,7990.39,60.1%,318,"axiom, gmgn, padre, smart_degen"
4pUkygf1rRmzAgaayGReWqcKtE4TtbcRHxGRuBHb1Fpc,,"",whale,pro,7979.39,48.0%,16,"launchpad_smart"
5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,SmokezXBT,"Smokez",kol,pro,7935.74,49.1%,14619,"app_smart_money, kol, photon, top_followed, top_renamed, trojan"
EQaxqKT3N981QBmdSUGNzAGK5S26zUwAdRHhBCgn87zD,luckedhub,"jamessmith",kol,pro,7898.31,43.7%,5701,"axiom, kol, top_followed, trojan"
CKVUT5HJQySsdZ99enM4o2qFoEmX57LPDR69Pc9hTA8u,,"",fresh_wallet,pro,7785.06,72.4%,48,"fresh_wallet"
Gghj6515zeefxS2Dv7vwSSGyWqtASJFojuLwVMFsc6FN,,"",smart_money,pro,7663.06,63.9%,252,"bullx, smart_degen"
CQKJHYqVPn8P944dpQtNud5eVLQr4p8iFuKSVNgKYNxY,,"",smart_money,pro,7599.97,48.8%,291,"padre, smart_degen"
8KQriAKQrWJY2CPMLGmxwMz2sEhKjq6hEd3Rwx1B5Zu6,,"",smart_money,pro,7596.71,47.2%,124,"gmgn, smart_degen"
93kgxYKex5wPyEkjH9P4KspLFAi3fdWBkw8vZce51pbp,,"",smart_money,pro,7532.82,63.7%,179,"smart_degen"
26kePvYeMNuoApxhe3cTDPEJK8LxC6Lrin4yK8FQzKEM,,"",fresh_wallet,pro,7399.12,44.2%,26,"fresh_wallet, padre, smart_degen"
3nG9zBc6fTne3j9kkS1CB5quyt25CS29GEjvMGNKmDSz,,"",smart_money,pro,7229.09,66.9%,190,"app_smart_money, gmgn, smart_degen"
THXcGyTMLSKWmvpDpdgL8G224xfMXksCfA29LBoJfUJ,,"",smart_money,pro,6783.18,53.8%,132,"bullx, smart_degen"
2w85VLX4W4qm8SPS7UJ35XwKZuLiNEeJr9MGzArKXkBF,,"",smart_money,pro,6630.27,42.2%,40,"padre, smart_degen, trojan"
